Species;Sites;lat;long
Dynamene edwardsi;Muxia;43.092831;-9.223431
Dynamene edwardsi;Peniche;39.372433;-9.377551
Dynamene edwardsi;Sines;37.960884;-8.887296
Dynamene edwardsi;Arrifes;37.076052;-8.27678
Dynamene edwardsi;Dona Ana;37.086969;-8.667716
Dynamene edwardsi;Ingrina;37.045257;-8.878047
Dynamene edwardsi;Mosteiros;37.900153;-25.817875
Dynamene edwardsi;France;43.554809;4.086157
Dynamene edwardsi;Croatia;43.942178;15.445649
Dynamene edwardsi;Porto Frades;33.072575;-16.295666
Dynamene edwardsi;Arzila;35.458006;-6.047981
Dynamene edwardsi;El Jadida;33.264036;-8.510717
Dynamene edwardsi;Tarfaya;27.917817;-12.961147
Dynamene edwardsi;Agaete;28.163186;-15.699269
Dynamene edwardsi;Playa Melenara;27.988891;-15.370485
Dynamene edwardsi;Bañaderos;28.149658;-15.54018
Dynamene edwardsi;Selvagem Grande;30.141158;-15.870064
Dynamene edwardsi;Selvagem Pequena;30.033233;-16.016675
Dynamene edwardsi;Reis Magos;32.646111;-16.824167
Dynamene edwardsi;Ponta Cruz;32.633123;-16.943643
Dynamene edwardsi;Mal Paso;28.416147;-16.298656
Dynamene edwardsi;Los Cristianos;28.044714;-16.711856
Dynamene edwardsi;Los Sargos;27.784739;-18.011569
Dynamene edwardsi;Arenas Blancas;27.767189;-18.121308
Dynamene edwardsi;La Fajana;28.842276;-17.794324
Dynamene edwardsi;La Salemera;28.577985;-17.760556
Dynamene edwardsi;El Faro;28.457545;-17.85034
Dynamene bidentata;Bellochantuy;55.525278;-5.710278
Dynamene bidentata;Carsaig;56.319444;-5.965
Dynamene bidentata;Easdale;56.291111;-5.633333
Dynamene bidentata;Pedreira;43.55617;-8.274942
Dynamene bidentata;Barizo;43.322113;-8.872784
Dynamene bidentata;Viana Castelo;41.689194;-8.84787
Dynamene bidentata;Buarcos;40.175976;-8.900572
Dynamene bidentata;Sines;37.960884;-8.887296
Dynamene bidentata;El Jadida;33.264036;-8.510717
Dynamene bidentata;Essaouire;31.515982;-9.771497
Dynamene bidentata;Bañaderos;28.149658;-15.54018
Dynamene magnitorata;Pedreira;43.55617;-8.274942
Dynamene magnitorata;Barizo;43.322113;-8.872784
Dynamene magnitorata;Muxía;43.092831;-9.223431
Dynamene magnitorata;Viana Castelo;41.689194;-8.84787
Dynamene magnitorata;Buarcos;40.175976;-8.900572
Dynamene magnitorata;Peniche;39.372433;-9.377551
Dynamene magnitorata;Arrifes;37.076052;-8.27678
Dynamene magnitorata;Dona Ana;37.086969;-8.667716
Dynamene magnitorata;Cinco Ribeiras;38.675414;-27.329717
Dynamene magnitorata;Porto Martins;38.683328;-27.057522
Dynamene magnitorata;Ribeira Chã;37.715417;-25.486836
Dynamene magnitorata;Praia Formosa;36.949917;-25.094989
Dynamene magnitorata;La Fajana;28.842276;-17.794324
